場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,3,3,カシノハンゾウ,98.2,10.0,108.571,4.0,80.833,16.0,287.60400000000004,95.868,8.0
中山,3,4,コパノカーター,98.4,9.0,,,103.0,4.0,,,
中山,3,5,キタノドンカルロ,90.4,13.0,93.167,10.0,97.0,9.0,280.567,93.522,10.0
中山,3,6,コパノトーマス,95.2,12.0,,,100.5,6.0,,,
中山,3,7,ウレシイゴサン,103.0,3.0,,,91.5,14.0,,,
中山,3,8,コパノキャメロン,100.2,5.0,104.143,6.0,104.833,3.0,309.17600000000004,103.059,4.0
中山,3,9,サンドロック,78.8,15.0,107.143,5.0,97.333,7.0,283.27599999999995,94.425,9.0
中山,3,10,ナムラパピ,99.0,7.0,,,87.667,15.0,,,
中山,3,11,リュウノエッセンス,99.2,6.0,111.5,3.0,94.0,12.0,304.7,101.567,6.0
中山,3,12,キタノアヤカ,86.0,14.0,92.286,11.0,97.333,7.0,275.619,91.873,11.0
中山,3,13,スノーランス,102.4,4.0,97.857,8.0,107.667,2.0,307.924,102.641,5.0
中山,3,14,ドライヴトウショウ,111.6,1.0,120.0,2.0,101.333,5.0,332.933,110.978,1.0
